Country	Nobel Prizes
United States	406
United Kingdom	138
Germany	114
France	73
Sweden	33
Russia/ Soviet Union	32
Japan	29
Canada	28
Switzerland	27
Austria	23
Netherlands	22
Italy	21
Poland	19
Denmark	14
Hungary	13
Israel	13
Norway	13
Australia	12
India	12
Belgium	11
Ireland	11
South Africa	11
China (People's Republic of China)	9
Spain	8
Czech Republic	6
Ukraine	6
Argentina	5
Finland	5
Egypt	4
Romania	4
Taiwan (Republic of China)	4
Belarus	3
Lithuania	3
Mexico	3
New Zealand	3
Algeria	2
Bosnia and Herzegovina	2
Chile	2
Colombia	2
Croatia	2
East Timor	2
Greece	2
Guatemala	2
Liberia	2
Luxembourg	2
Pakistan	2
Portugal	2
Saint Lucia	2
Turkey	2
Yugoslavia	2
Bangladesh	1
Bulgaria	1
Costa Rica	1
Cyprus	1
Democratic Republic of the Congo	1
Ethiopia	1
Faroe Islands	1
Ghana	1
Hong Kong	1
Iceland	1
Iran	1
Iraq	1
Kenya	1
"Korea, South"	1
Latvia	1
Lebanon	1
Morocco	1
Myanmar	1
Nigeria	1
North Macedonia	1
Palestine	1
Peru	1
Philippines	1
Slovenia	1
Tanzania	1
Tibet	1
Trinidad and Tobago	1
Tunisia	1
Venezuela	1
Vietnam	1
Yemen	1